,0,1,2,3,4,5,6,7,8,9
initialized,True,True,True,True,True,True,True,True,True,True
base_asset_amount,-79634.26954137748,-58.7741292129852,-382.4822545177129,50043.80173522475,-13376.808264186804,-3961.8044103163584,-1483114.2483295384,-60251.85490364165,-55111.794705434055,-1052862.3598965772
base_asset_amount_long,20913.823020177268,18.4743648693107,88.4488334668676,55821.05453378063,4261.0304754131885,144.7000673836199,120629.8490683944,2671.953629649266,2105.8583173217735,30188.030776426862
base_asset_amount_short,-100548.09256155475,-77.2484940822959,-470.9310879845805,-5777.2527985558845,-17637.838739599993,-4106.504477699978,-1603744.0973979328,-62923.80853329092,-57217.653022755825,-1083050.390673004
initialized,True,True,True,True,True,True,True,True,True,True
open_interest,1407,550,286,245,172,87,97,113,60,66
market_index,0,1,2,3,4,5,6,7,8,9
market_name,SOL-PERP,BTC-PERP,ETH-PERP,LUNA-PERP,AVAX-PERP,BNB-PERP,MATIC-PERP,ATOM-PERP,DOT-PERP,ADA-PERP
oracle,H6ARHf6YXhGYeQfUzQNGk6rDNnLBQKrenN712K4AQJEG,GVXRSBjFk6e6J3NbVPXohDJetcTjaeeuykUpbQF8UoMU,JBu1AL4obBcCMqKBBxhpWCNUt136ijcuMZLFvTP7iWdB,5bmWuR1dgP4avtGYMNKLuxumZTVKGgoN2BCMXWDNL9nY,Ax9ujW5B9oqcv59N8m6f1BpTBq2rGeGaBcpKjC5UYsXU,4CkQJBxhU8EZ2UjhigbtdaPbpTe6mqf811fipYBFbSYN,7KVswB9vkCgeM3SHP7aGDijvdRAHK8P5wi9JXViCrtYh,CrCpTerNqtZvqLcKqz1k13oVeXV9WkMD2zA9hBKXrsbN,EcV1X1gY2yb4KXxjVQtTHTbioum2gvmPnFk4zYAt7zne,3pyn4svBbxJ9Wnn3RVeafyLWfzie6yC5eTig2S62v9SC
base_asset_reserve,264706.3094003554,391.8613887680433,2006.1408557570992,323169.54316071776,249045.5975386469,31222.48975293621,7835933.285728112,434727.36805542576,435073.1624537825,9984116.73700681
quote_asset_reserve,98982.58700277947,279.6241629847701,1292.79264745425,428459.674613465,228988.36604468545,23369.063782363395,5154460.252570943,324986.388161513,332015.91947027354,7995837.617656721
cumulative_funding_rate_long,15.68975825497847,10455.253232957968,508.8494735423184,-2.97418256954938,2.76864507121555,33.41859987570177,0.14168574474256,2.72998608525511,1.77158202887692,0.01925275119026
cumulative_funding_rate_short,4.97546115601621,4938.68362114867,403.2821316297101,-3.56415475746516,1.10257076459798,17.12310635116379,0.11953368229494,2.70548463961036,0.96711087287097,0.01925275119026
last_funding_rate,0.00107873827916,0.18870441337083,0.01149287850416,-0.00042091257916,2.188153333e-05,0.00845740846666,6.0251675e-05,0.002815272875,2.909785416e-05,5.074750833e-05
last_funding_rate_ts,2022-03-18 03:00:19,2022-03-18 03:04:26,2022-03-18 03:03:06,2022-03-18 03:03:41,2022-03-18 03:00:07,2022-03-18 03:00:07,2022-03-18 03:10:13,2022-03-18 03:01:24,2022-03-18 03:01:28,2022-03-18 03:11:45
last_oracle_price_twap,86.3414306268,40550.2122830882,2785.2685191064,85.4786427035,79.8885727817,386.2793932834,1.4326691475,27.6293582028,18.5047231537,0.8309022543
last_mark_price_twap,86.3707550586,40566.249713776,2786.1983539122,85.4718114244,79.8919476435,386.5091107625,1.4343189485,27.6895931121,18.5053741668,0.8322773915
last_mark_price_twap_ts,2022-03-18 03:27:13,2022-03-18 03:26:40,2022-03-18 03:24:37,2022-03-18 03:27:23,2022-03-18 03:27:29,2022-03-18 03:10:18,2022-03-18 03:27:30,2022-03-18 03:27:18,2022-03-18 03:24:44,2022-03-18 03:19:10
sqrt_k,161868.20348791586,331.0195052263744,1610.4422212797188,372109.0126664809,238806.5000183142,27011.85581333785,6355313.262387873,375872.95350862044,380067.3835899791,8934840.579710145
peg_multiplier,230.19,56800.699,4319.1,64.343,85.765,515.4,2.175,36.915,24.134,1.035
total_fee,1392309.462879,364485.440528,220857.818766,1227939.589775,806823.255724,244508.678303,473957.184803,569290.185133,219969.558412,200974.556467
total_fee_minus_distributions,892346.13995,195949.636407,118596.970662,908896.276063,629632.619454,137175.616186,309173.422296,421057.513871,157423.207564,174663.605568
total_fee_withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mark_price,86.07577867631748,40531.80121868677,2783.3044263048096,85.30624691307605,78.85779715810813,385.76089122736977,1.430710374954409,27.596313001054735,18.417298266120433,0.8288857344386098
